id ,is_lab_cab,nr_persons
3-3,0,210
3-101,0,88
3-104,0,94
3-201,0,30
3-202,0,32
3-203,0,26
3-224,0,34
3-310,0,76
3-312,0,24
3-401,0,60
3-402,0,60
3-404,0,24
3-405,0,405
3-505,0,505
3-512,0,512
3-515,0,24
3-519,0,28
3-524,0,24
6-2,0,180
5-1,0, 180
3-601,0,15
3-604,0,60
3-606,0,28
3-607,0,30
3-609,0,56
3-611,0,30
3-613,0,30
3-614,0,60
3-618,0,30
3-622,0,60
3-623,0,30
3-624,0,30
3-630,0,30
3-707,0,60
3-709,0,60
3-717,0,60
3-718,0,60
3-719,0,60
3-720,0,60
3-722,0,60
3-724,0,60
3-113,0,48
3-115,0,20
3-118,0,50
D-01,1,30
D-03,1,30
D-02,1,30
D-04,1,30
110,1,30
112,1,30
114,1,30
212,1,40
214,1,40
215,1,40
217,1,40
406,1,60
407,1,60
409,1,60
420,1,60
422,1,60
427,1,60
416,1,60
501A,1,60
501B,1,60
503,1,60
502A,1,60
502B,1,60
516,1,60
513A,1,60
513B,1,60
518,1,60
608,1,60
619,1,60
628,1,60
A-01,1,30
A-02,1,30
A-03,1,30
