id,unitate_curs,teorie,practica,lab,TOTAL,anul,semestru
1,AM1,30,30,0,,1,1
2,AM2,30,15,0,,1,2
3,ALGA,30,15,0,,1,1
4,PC,30,30,30,,1,1
5,PSA,30,15,15,,1,1
6,Etica și integritatea academică/ Psihologie inginerească/ Comportament organizațional,30,0,0,,1,1
7,SDA,30,15,0,,1,2
8,CSA,30,15,0,,1,2
9,GC,30,0,30,,1,2
10,Grafica inginerească,15,0,30,,1,1
11,Fizica,30,30,30,,1,1
12,Mecanica Teoretică,30,0,30,,1,2
13,MS,30,15,30,,1,2
14,MD,30,15,30,,1,2
15,Biologie și biochimie,45,0,30,,1,2
16,Arhitectura calculatoarelor,30,15,30,,1,2
17,Tehnologii Web,30,0,30,,1,2
18,Programarea procedurală,30,0,30,,1,2
19,Practica de inițiere,0,0,0,,1,2
20,Criptografie,30,0,30,,1,2
21,ALGA (FAF),30,15,0,,1,1
22,PCAIT (FAF),0,0,0,Proiect 60,1,1
23,MD (FAF),30,15,30,,1,1
24,AM1 (FAF),30,30,0,,1,1
25,EIA (FAF),30,0,0,,1,1
26,PSA (FAF),30,15,15,,1,1
27,PC (FAF),30,30,30,,1,1
28,L. Engleza (FAF),0,30,0,,1,1
29,ME (FAF),0,0,0,Proiect 60,1,2
30,SA (FAF),30,30,30,,1,2
31,AM2(FAF),30,30,0,,1,2
32,MS(FAF),30,15,0,,1,2
33,MN (FAF),30,15,0,,1,2
34,SDA(FAF),30,15,30,,1,2
35,CSA(FAF),30,15,0,,1,2
36,L. Engleza2 (FAF),0,30,0,,1,2
37,L. Română,0,30,0,,1,1
38,L. Română 2,0,30,0,,1,2
39,L. Engleză 1-2,0,30,0,,1,"1,2"
40,Ed. Fizică 1-2,0,30,0,,1,"1,2"
41,CDE,45,0,30,,2,3
42,POO,30,15,30,,2,3
43,MN,30,0,15,,2,3
44,Analiza și sinteza dispozitivelor numerice,30,15,15,,2,3
45,DPI,30,0,0,,2,3
46,Bazele statului și dreptului,30,0,0,,2,3
47,Filosofie și gândire inginerească,30,30,0,,2,3
48,Interfețe de comunicare,30,0,30,,2,3
49,Procese stochastice,30,15,0,,2,3
50,Sensori și traductoare,30,0,30,,2,3
51,Mecanica fină,30,0,15,,2,3
52,Analiza și proiectarea algoritmilor,30,30,0,,2,3
53,Implementarea algoritmilor folosind programarea structurală,0,0,0,Proiect 30,2,3
54,Traductoare și măsurători,30,15,45,,2,3
55,Fizica corpului solid,45,15,30,,2,3
56,Optica medicală și echipamente optice,30,0,15,,2,3
57,Materiale și componente în electronică,30,0,30,,2,4
58,Anatomia și fiziologia umană 1,60,15,30,,2,3
59,Anatomia și fiziologia umană 2,30,15,30,,2,4
60,"Semnale, circuite și sisteme",30,15,30,,2,3
61,Bazele tehnologiei electronice,30,0,30,,2,3
62,Programarea interactivă,36,0,24,,2,3
63,BD,36,15,24,,2,3
